                       Resultados das barras
Barra | Modulo (PU) |  Angulo (o) | Modulo da tensao (V)
  421 |    0.993714 |     -0.2714 |        7917.353
  422 |    0.993716 |     -0.2714 |        7917.364
  423 |    0.993717 |     -0.2714 |        7917.377
  424 |    0.993719 |     -0.2714 |        7917.390
  425 |    0.993721 |     -0.2714 |        7917.403
  426 |    0.993721 |     -0.2714 |        7917.403
  427 |    0.993721 |     -0.2714 |        7917.403
  428 |    0.993723 |     -0.2714 |        7917.420
  429 |    0.993724 |     -0.2714 |        7917.434
  430 |    0.954923 |     -1.3249 |        7608.286
  431 |    0.993725 |     -0.2714 |        7917.439
  432 |    0.993726 |     -0.2714 |        7917.443
  433 |    0.993726 |     -0.2714 |        7917.448
  434 |    0.993727 |     -0.2714 |        7917.452
  435 |    0.993728 |     -0.2714 |        7917.458
  436 |    0.993728 |     -0.2714 |        7917.465
  437 |    0.993729 |     -0.2714 |        7917.472
  438 |    0.962857 |     -0.9788 |        7671.503
  439 |    0.962834 |     -0.9786 |        7671.314
  440 |    0.962815 |     -0.9784 |        7671.163
  441 |    0.962796 |     -0.9783 |        7671.012
  442 |    0.962778 |     -0.9781 |        7670.869
  443 |    0.962752 |     -0.9779 |        7670.662
  444 |    0.963160 |     -0.9806 |        7673.912
  445 |    0.963126 |     -0.9803 |        7673.640
  446 |    0.963119 |     -0.9803 |        7673.586
  447 |    0.963090 |     -0.9800 |        7673.354
  448 |    0.963059 |     -0.9798 |        7673.108
  449 |    0.963040 |     -0.9800 |        7672.957
  450 |    0.962997 |     -0.9797 |        7672.618
  451 |    0.962962 |     -0.9794 |        7672.335
  452 |    0.962926 |     -0.9791 |        7672.046
  453 |    0.962914 |     -0.9792 |        7671.952
  454 |    0.962889 |     -0.9790 |        7671.756
  455 |    0.951826 |     -1.2063 |        7583.609
  456 |    0.951728 |     -1.2055 |        7582.831
  457 |    0.966692 |     -0.8396 |        7702.056
  458 |    0.965507 |     -0.8868 |        7692.612
  459 |    0.951401 |     -1.2033 |        7580.224
  460 |    0.995931 |     -0.2526 |        7935.016
  461 |    0.996133 |     -0.2393 |        7936.620
  462 |    0.996329 |     -0.2264 |        7938.188
  463 |    0.996526 |     -0.2136 |        7939.756
  464 |    0.996725 |     -0.2006 |        7941.338
  465 |    0.996944 |     -0.1863 |        7943.083
  466 |    0.997161 |     -0.1721 |        7944.813
  467 |    0.997308 |     -0.1625 |        7945.985
  468 |    0.954886 |     -1.3246 |        7607.990
  469 |    0.954891 |     -1.3247 |        7608.033
  470 |    0.955136 |     -1.3293 |        7609.980
  471 |    0.955136 |     -1.3293 |        7609.980
  472 |    0.955136 |     -1.3293 |        7609.980
  473 |    0.962727 |     -0.9777 |        7670.463
  474 |    0.962727 |     -0.9777 |        7670.463
  475 |    0.962727 |     -0.9777 |        7670.463
  476 |    0.962727 |     -0.9777 |        7670.463
  477 |    0.962727 |     -0.9777 |        7670.463
  478 |    0.962727 |     -0.9777 |        7670.463
  479 |    0.962727 |     -0.9777 |        7670.463
  480 |    0.951714 |     -1.2054 |        7582.722
  481 |    0.951706 |     -1.2053 |        7582.658
  482 |    0.951698 |     -1.2053 |        7582.589
  483 |    0.951689 |     -1.2052 |        7582.522
  484 |    0.951677 |     -1.2051 |        7582.427
  485 |    0.951666 |     -1.2050 |        7582.335
  486 |    0.951653 |     -1.2049 |        7582.233
  487 |    0.951641 |     -1.2048 |        7582.141
  488 |    0.951631 |     -1.2047 |        7582.058
  489 |    0.951624 |     -1.2046 |        7582.001
  490 |    0.951708 |     -1.2054 |        7582.671
  491 |    0.951707 |     -1.2054 |        7582.666
  492 |    0.951707 |     -1.2054 |        7582.662
  493 |    0.954896 |     -1.3247 |        7608.071
  494 |    0.954902 |     -1.3248 |        7608.115
  495 |    0.954907 |     -1.3248 |        7608.158
  496 |    0.954913 |     -1.3249 |        7608.208
  497 |    0.954919 |     -1.3249 |        7608.255
  498 |    0.954918 |     -1.3249 |        7608.244
  499 |    0.954916 |     -1.3249 |        7608.228
  500 |    0.954911 |     -1.3248 |        7608.187
  501 |    0.954902 |     -1.3248 |        7608.122
  502 |    0.954894 |     -1.3247 |        7608.052
  503 |    0.954892 |     -1.3247 |        7608.036
  504 |    0.954887 |     -1.3247 |        7608.002
  505 |    0.954873 |     -1.3246 |        7607.890
  506 |    0.954864 |     -1.3245 |        7607.814
  507 |    0.954859 |     -1.3245 |        7607.779
  508 |    0.994305 |     -0.2760 |        7922.056
  509 |    0.994270 |     -0.2757 |        7921.780
  510 |    0.994237 |     -0.2754 |        7921.521
  511 |    0.994226 |     -0.2752 |        7921.434
  512 |    0.994211 |     -0.2749 |        7921.312
  513 |    0.994201 |     -0.2747 |        7921.230
  514 |    0.994211 |     -0.2749 |        7921.311
  515 |    0.954774 |     -1.3649 |        7607.100
  516 |    0.954825 |     -1.3615 |        7607.509
  517 |    0.954874 |     -1.3582 |        7607.899
  518 |    0.954929 |     -1.3546 |        7608.332
  519 |    0.954979 |     -1.3513 |        7608.730
  520 |    0.955164 |     -1.3258 |        7610.207
  521 |    0.955151 |     -1.3257 |        7610.101
  522 |    0.951706 |     -1.2054 |        7582.657
  523 |    0.951710 |     -1.2055 |        7582.690
  524 |    0.951710 |     -1.2055 |        7582.690
  525 |    0.951710 |     -1.2055 |        7582.690
  526 |    0.951710 |     -1.2055 |        7582.690
  527 |    0.951710 |     -1.2055 |        7582.690
  528 |    0.951710 |     -1.2055 |        7582.690
  529 |    0.951579 |     -1.2045 |        7581.643
  530 |    0.951567 |     -1.2044 |        7581.547
  531 |    0.951553 |     -1.2043 |        7581.439
  532 |    0.951567 |     -1.2044 |        7581.547
  533 |    0.951539 |     -1.2042 |        7581.328
  534 |    0.951523 |     -1.2042 |        7581.200
  535 |    0.951507 |     -1.2041 |        7581.066
  536 |    0.951491 |     -1.2040 |        7580.945
